Data;3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$
04/2021;5,4030
05/2021;5,2316
06/2021;5,0016
07/2021;5,1210
08/2021;5,1427
09/2021;5,4388
10/2021;5,6424
11/2021;5,6193
12/2021;5,5799
01/2022;5,3568
02/2022;5,1388
Fonte;Sisbacen PTAX800
